Feature,Coefficient,OddsRatio
Dependents_No,0.6441584591431105,1.9043837380262532
Contract_Month-to-month,0.5671926300589775,1.7633098332942247
InternetService_Fiber optic,0.5528873905608785,1.7382648283159259
TotalCharges,0.5066500417120295,1.6597218726125935
PaymentMethod_Electronic check,0.18771658453543072,1.2064915285326603
StreamingTV_Yes,0.17003844937443288,1.1853504264265726
StreamingMovies_Yes,0.15804509436960068,1.1712190088997199
OnlineSecurity_No,0.13205102717332082,1.1411665482848385
TechSupport_No,0.11460821523120777,1.1214339907364945
MultipleLines_Yes,0.08397371865490742,1.0876003098341496
OnlineSecurity_No internet service,-0.28650707716200036,0.750881764400396
InternetService_No,-0.28650707716200036,0.750881764400396
MultipleLines_No,-0.2998219944450566,0.7409501021776738
Partner_No,-0.3172191388513084,0.7281711670472636
PaperlessBilling_No,-0.35108762183891784,0.703922072206909
MonthlyCharges,-0.4997635202879094,0.6066741088691555
InternetService_DSL,-0.6106196640639004,0.5430142783641994
Contract_Two year,-0.7415069578101127,0.4763954664519063
Dependents_Yes,-0.9883978098081455,0.37217250472790564
TenureMonths,-1.2565670804342324,0.2846294612938922
